A74,R74,C74,L74,M74,A73,R73,C73,L73,M73,A72,R72,C72,L72,M72,A71,R71,C71,L71,M71,A70,R70,C70,L70,M70,A69,R69,C69,L69,M69,A68,R68,C68,L68,M68,A67,R67,C67,L67,M67,A66,R66,C66,L66,M66,A65,R65,C65,L65,M65
1.0,1.0,1.1493492186722334,0.2857142857142857,0.006492075815090592,1.0,1.0,1.6967618085993625,0.2857142857142857,0.5539046657422197,1.0,1.0,1.8631093306592315,0.2857142857142857,0.7202521878020887,1.0,1.0,1.9409918569245843,0.2857142857142857,0.7981347140674415,1.0,1.0,1.9842549880609404,0.2857142857142857,0.8413978452037976,1.0,1.0,2.0103333642329404,0.2857142857142857,0.8674762213757976,1.0,1.0,2.0266074733151243,0.2857142857142857,0.8837503304579815,1.0,1.0,2.03674998074839,0.2857142857142857,0.8938928378912472,1.0,1.0,2.0427948305719315,0.2857142857142857,0.8999376877147887,1.0,1.0,2.0459598744380387,0.2857142857142857,0.9031027315808959
2.0,1.0,2.2974131480806586,0.2857142857142857,2.1545560052235158,2.0,1.0,2.2500070886427572,0.2857142857142857,2.1071499457856144,2.0,1.0,2.232601743308528,0.2857142857142857,2.089744600451385,2.0,1.0,2.221115376519377,0.2857142857142857,2.0782582336622344,2.0,1.0,2.2115374340728997,0.2857142857142857,2.068680291215757,2.0,1.0,2.2027127788350263,0.2857142857142857,2.0598556359778835,2.0,1.0,2.194218396376385,0.2857142857142857,2.051361253519242,2.0,1.0,2.1858769443197765,0.2857142857142857,2.0430198014626337,2.0,1.0,2.1776030560761606,0.2857142857142857,2.0347459132190178,2.0,1.0,2.169351551859182,0.2857142857142857,2.0264944090020394
3.0,1.0,3.4461197221209883,0.2857142857142857,4.303262579263846,3.0,1.0,2.8022751107277113,0.2857142857142857,3.6594179678705685,3.0,1.0,2.600944666731213,0.2857142857142857,3.4580875238740703,3.0,1.0,2.5001340194127777,0.2857142857142857,3.357276876555635,3.0,1.0,2.437800680735026,0.2857142857142857,3.294943537877883,3.0,1.0,2.3941590916028193,0.2857142857142857,3.2513019487456765,3.0,1.0,2.360972086791857,0.2857142857142857,3.2181149439347143,3.0,1.0,2.3342111707313684,0.2857142857142857,3.1913540278742256,3.0,1.0,2.311672864963042,0.2857142857142857,3.168815722105899,3.0,1.0,2.292050778491335,0.2857142857142857,3.1491936356341923
4.0,1.0,4.594826296161318,0.2857142857142857,6.451969153304175,4.0,1.0,3.3539710171978157,0.2857142857142857,5.211113874340673,4.0,1.0,2.968635589095865,0.2857142857142857,4.825778446238722,4.0,1.0,2.7784900591734125,0.2857142857142857,4.63563291631627,4.0,1.0,2.6634129226183627,0.2857142857142857,4.52055577976122,4.0,1.0,2.584974727144966,0.2857142857142857,4.442117584287823,4.0,1.0,2.5271191321985267,0.2857142857142857,4.384261989341384,4.0,1.0,2.481963542965782,0.2857142857142857,4.339106400108639,4.0,1.0,2.4451844057577845,0.2857142857142857,4.302327262900642,4.0,1.0,2.414213387046609,0.2857142857142857,4.271356244189466
5.0,1.0,5.743532870201647,0.2857142857142857,8.600675727344504,5.0,1.0,3.9053165355910857,0.2857142857142857,6.762459392733943,5.0,1.0,3.3358356731503567,0.2857142857142857,6.192978530293214,5.0,1.0,3.0563387383396368,0.2857142857142857,5.913481595482494,5.0,1.0,2.8885187984047995,0.2857142857142857,5.745661655547657,5.0,1.0,2.775291300875476,0.2857142857142857,5.632434158018333,5.0,1.0,2.692777511516602,0.2857142857142857,5.549920368659459,5.0,1.0,2.629238587289273,0.2857142857142857,5.48638144443213,5.0,1.0,2.578231165354338,0.2857142857142857,5.435374022497195,5.0,1.0,2.535923581943201,0.2857142857142857,5.393066439086058
6.0,1.0,6.8922394442419765,0.2857142857142857,10.749382301384834,6.0,1.0,4.456435813427092,0.2857142857142857,8.31357867056995,6.0,1.0,3.7026700404184956,0.2857142857142857,7.559812897561352,6.0,1.0,3.333773799084171,0.2857142857142857,7.190916656227028,6.0,1.0,3.113205235149533,0.2857142857142857,6.97034809229239,6.0,1.0,2.9651918696358193,0.2857142857142857,6.822334726778676,6.0,1.0,2.8580254522408315,0.2857142857142857,6.715168309383689,6.0,1.0,2.776110040648628,0.2857142857142857,6.633252897791485,6.0,1.0,2.7108807397542676,0.2857142857142857,6.568023596897125,6.0,1.0,2.65724378224149,0.2857142857142857,6.514386639384347
7.0,1.0,8.01431175549198,0.2968263613145177,12.904790839435533,7.0,1.0,5.007400430596323,0.2857142857142857,9.864543287739181,7.0,1.0,4.069247961106912,0.2857142857142857,8.92639081824977,7.0,1.0,3.61087962920957,0.2857142857142857,8.468022486352428,7.0,1.0,3.337539583742899,0.2857142857142857,8.194682440885757,7.0,1.0,3.1547347225114692,0.2857142857142857,8.011877579654326,7.0,1.0,3.0229171229965335,0.2857142857142857,7.880059980139391,7.0,1.0,2.9226290636559864,0.2857142857142857,7.779771920798844,7.0,1.0,2.843183008567589,0.2857142857142857,7.700325865710447,7.0,1.0,2.778221375699483,0.2857142857142857,7.63536423284234
8.0,1.0,9.061890783495317,0.3356255845739005,15.068767537217017,8.0,1.0,5.558254604828528,0.2857142857142857,11.415397461971386,8.0,1.0,4.435625433212625,0.2857142857142857,10.292768290355482,8.0,1.0,3.887732494475902,0.2857142857142857,9.74487535161876,8.0,1.0,3.5615828478775864,0.2857142857142857,9.418725705020444,8.0,1.0,3.343972383322549,0.2857142857142857,9.201115240465407,8.0,1.0,3.187498058669301,0.2857142857142857,9.04464091581216,8.0,1.0,3.0688363543445214,0.2857142857142857,8.925979211487379,8.0,1.0,2.9751751259393706,0.2857142857142857,8.832317983082229,8.0,1.0,2.898891787469338,0.2857142857142857,8.756034644612196
9.0,1.0,10.099017953921686,0.37403770199709935,17.221131059912985,9.0,1.0,6.109021913791857,0.2857142857142857,12.966164770934714,9.0,1.0,4.801843936143407,0.2857142857142857,11.658986793286264,9.0,1.0,4.164379446055844,0.2857142857142857,11.0215223031987,9.0,1.0,3.7853895438007843,0.2857142857142857,10.642532400943642,9.0,1.0,3.532952272598528,0.2857142857142857,10.390095129741386,9.0,1.0,3.351811289281455,0.2857142857142857,10.208954146424313,9.0,1.0,3.214770969910348,0.2857142857142857,10.071913827053205,9.0,1.0,3.1068921598427246,0.2857142857142857,9.964035016985582,9.0,1.0,3.019286758034189,0.2857142857142857,9.876429615177047
10.0,1.0,11.126947414639991,0.41210916350518473,19.363274905155546,10.0,1.0,6.659481912117042,0.2857142857142857,14.516624769259899,10.0,1.0,5.1679370850851845,0.2857142857142857,13.025079942228043,10.0,1.0,4.440856247148946,0.2857142857142857,12.297999104291804,10.0,1.0,4.008994905890289,0.2857142857142857,11.866137763033148,10.0,1.0,3.7217130755360035,0.2857142857142857,11.578855932678861,10.0,1.0,3.5158931413056114,0.2857142857142857,11.373035998448469,10.0,1.0,3.3604675505891235,0.2857142857142857,11.217610407731982,10.0,1.0,3.238367082606831,0.2857142857142857,11.09550993974969,10.0,1.0,3.1394372917300575,0.2857142857142857,10.996580148872916
11.0,1.0,12.146672046868643,0.44987674247661624,21.496302274298493,11.0,1.0,7.208789208120112,0.2857142857142857,16.06593206526297,11.0,1.0,5.533927824006053,0.2857142857142857,14.39107068114891,11.0,1.0,4.717191347347291,0.2857142857142857,13.57433420449015,11.0,1.0,4.232430058566075,0.2857142857142857,13.089572915708931,11.0,1.0,3.910282639044875,0.2857142857142857,12.767425496187732,11.0,1.0,3.6797721349815817,0.2857142857142857,12.536914992124439,11.0,1.0,3.505953270399761,0.2857142857142857,12.363096127542619,11.0,1.0,3.3696268349869256,0.2857142857142857,12.226769692129784,11.0,1.0,3.259369267371832,0.2857142857142857,12.11651212451469
12.0,1.0,13.158996819766188,0.48737025258393274,23.621107577517986,12.0,1.0,7.754107783943743,0.2871891771831015,17.61567531549305,12.0,1.0,5.899824689750279,0.2857142857142857,15.756967546893137,12.0,1.0,4.993405101001097,0.2857142857142857,14.850547958143956,12.0,1.0,4.455720548396002,0.2857142857142857,14.31286340553886,12.0,1.0,4.098687000479203,0.2857142857142857,13.95582985762206,12.0,1.0,3.8434715121070675,0.2857142857142857,13.700614369249925,12.0,1.0,3.6512511009966144,0.2857142857142857,13.508393958139472,12.0,1.0,3.500692692104424,0.2857142857142857,13.357835549247282,12.0,1.0,3.379104367186997,0.2857142857142857,13.236247224329855
