M74,R74,C74,L74,V74,M73,R73,C73,L73,V73,M72,R72,C72,L72,V72,M71,R71,C71,L71,V71,M70,R70,C70,L70,V70,M69,R69,C69,L69,V69,M68,R68,C68,L68,V68,M67,R67,C67,L67,V67,M66,R66,C66,L66,V66,M65,R65,C65,L65,V65
1.0,1.0,1.6112223129107284,0.28571428576601227,12.546897623828446,1.0,1.0,1.6852114548412074,0.28571428577961333,18.951151734521993,1.0,1.0,1.7214506333656518,0.2857142857455124,25.249786818026514,1.0,1.0,1.7348517312541485,0.28571428573142565,31.469691883259095,1.0,1.0,1.7332175727545849,0.2857142857431386,37.630913581735896,1.0,1.0,1.7208957513643537,0.285714285725509,43.7487586007672,1.0,1.0,1.7006611500666216,0.28571428574115687,49.83530396175101,1.0,1.0,1.6744521586970167,0.2857142858301047,55.900619487041574,1.0,1.0,1.643275797606166,0.28571428573932706,61.95411623869006,1.0,1.0,1.6080815270583424,0.2857142857647307,68.00501735184629
3.0,1.0,2.2915316073272445,0.28571428575015984,13.791150192804558,3.0,1.0,2.2632823291145865,0.2857142858272703,20.177945004433543,3.0,1.0,2.2271727297922435,0.285714286240543,26.468774140348735,3.0,1.0,2.1979052298667447,0.2857142857421871,32.687083206446054,3.0,1.0,2.1440175856156203,0.2857142857837294,38.851165207295885,3.0,1.0,2.082792043060579,0.285714285969252,44.975243879459256,3.0,1.0,2.0269955294916566,0.28571428591609643,51.070815239193514,3.0,1.0,1.9673991363564824,0.28571428573178625,57.14757935309718,3.0,1.0,1.8992191068064388,0.2857142861157388,63.21473389071532,3.0,1.0,1.8293237971456389,0.2857142857142857,69.28142675429278
5.0,1.0,3.3969627497741395,0.28571428576337543,14.724165285014813,5.0,1.0,2.8603570997892347,0.2857142857176615,21.158262972005197,5.0,1.0,2.6569816452165114,0.28571428576530356,27.484850233769794,5.0,1.0,2.537171600836353,0.2857142857387672,33.73345862304592,5.0,1.0,2.43951881225885,0.2857142857372118,39.924728822467024,5.0,1.0,2.343565847200668,0.28571428574185964,46.0742705460269,5.0,1.0,2.2583801146941718,0.2857142859157227,52.19437337151207,5.0,1.0,2.1616339290159714,0.28571428571849555,58.29525229004679,5.0,1.0,2.078364452235889,0.28571428604459914,64.38652100721487,5.0,1.0,1.996139216667351,0.28571428638256763,70.47758285864668
7.0,1.0,4.339846695935926,0.2857142860043962,15.54747772594597,7.0,1.0,3.550593223423487,0.2857142862548438,22.044126872501213,7.0,1.0,3.119959440219002,0.2857142857301258,28.414636900093473,7.0,1.0,2.8856092678053855,0.2857142861225424,34.699619992753135,7.0,1.0,2.724000167179395,0.2857142857828666,40.92333641173812,7.0,1.0,2.591631096927702,0.28571428589235776,47.10288910647158,7.0,1.0,2.4697722559095125,0.28571428578138314,53.25146394265492,7.0,1.0,2.3563555457042717,0.2857142857277079,59.379901352856784,7.0,1.0,2.2575654593740886,0.2857142857192696,65.49820532732598,7.0,1.0,2.151619446953955,0.2857142857184561,71.61609584302853
9.0,1.0,5.161169314584196,0.28571428574513474,16.25695881181184,9.0,1.0,4.303661691869619,0.28571428580868047,22.85339484038991,9.0,1.0,3.6438605786897282,0.2857142860298581,29.27799706714791,9.0,1.0,3.262800638517387,0.2857142857862641,35.60447799616615,9.0,1.0,3.0175260188555892,0.28571428572366936,41.86404255438242,9.0,1.0,2.8431426946091554,0.2857142858912782,48.07633236508061,9.0,1.0,2.6955739350737438,0.2857142859835737,54.255646123826686,9.0,1.0,2.5562196600727587,0.2857142857775695,60.413519572615186,9.0,1.0,2.4300283217825993,0.2857142857886467,66.56042690975248,9.0,1.0,2.3203800228142333,0.2857142857390341,72.70644535545085
11.0,1.0,6.3001643110695404,0.2857142869855781,16.908445513906457,11.0,1.0,4.872364693439965,0.2857142861696728,23.584336277830914,11.0,1.0,4.206336478200362,0.2857142858767773,30.080342133572465,11.0,1.0,3.680407378252143,0.28571428590871933,36.45533780667527,11.0,1.0,3.350635029724769,0.28571428581953456,42.754459953832594,11.0,1.0,3.112886498971482,0.2857142857843084,49.001814965363266,11.0,1.0,2.923726756392176,0.2857142857202475,55.213567195606046,11.0,1.0,2.759221520774883,0.28571428576418173,61.40219660010362,11.0,1.0,2.6148969327808587,0.2857142857644166,67.57881033289655,11.0,1.0,2.4778052310369922,0.28571428583304626,73.7538384250378
13.0,1.0,7.068284925206872,0.2857142858580818,17.501964460933614,13.0,1.0,5.478965795077915,0.28571428604728366,24.266245696443498,13.0,1.0,4.690996059298622,0.2857142859633304,30.825803855205816,13.0,1.0,4.12565153667346,0.2857142862285657,37.25600851204446,13.0,1.0,3.691637133285873,0.2857142862776063,43.59885996875491,13.0,1.0,3.3929685478169453,0.28571428601551585,49.8838691201418,13.0,1.0,3.1692501869485827,0.28571428575500213,56.129808658562844,13.0,1.0,2.973388984061356,0.2857142857142857,62.35044488439967,13.0,1.0,2.803043499446302,0.28571428601307225,68.5576244899335,13.0,1.0,2.6540728858059097,0.2857142857173153,74.76235337940125
15.0,1.0,8.175216478800031,0.3027731603765247,18.055531547121593,15.0,1.0,6.200625889454579,0.2857142883069441,24.90708389869438,15.0,1.0,5.162316742776401,0.28571428573731134,31.52954179269644,15.0,1.0,4.52003087354546,0.28571428598271353,38.01244595458926,15.0,1.0,4.049807930572229,0.2857142857142857,44.401288337663864,15.0,1.0,3.6887436142712016,0.2857142857860144,50.726082116402196,15.0,1.0,3.4186932212473717,0.2857142857783339,57.0078557112727,15.0,1.0,3.1939468188932487,0.28571428579349345,63.26167562252503,15.0,1.0,2.996446803890338,0.2857142858955752,69.50031441620102,15.0,1.0,2.8234092457628766,0.2857142867417437,75.7353764581768
17.0,1.0,8.99200233613565,0.3330333649751151,18.576523374327582,17.0,1.0,6.862895192814968,0.2857142907386871,25.510552504779195,17.0,1.0,5.619234862070727,0.28571428736268567,32.198211859630575,17.0,1.0,4.923796805964172,0.2857173863849687,38.733229997836574,17.0,1.0,4.392269489210898,0.28571428571829266,45.16732864352515,17.0,1.0,3.978619940700301,0.2857142859469195,51.532548750021434,17.0,1.0,3.6581252677799805,0.2857142857702845,57.850995551303455,17.0,1.0,3.406161268578243,0.28571428571791724,64.13889330260359,17.0,1.0,3.196095690960801,0.28571428588801534,70.40973908713445,17.0,1.0,2.9999623422400497,0.28571428580229186,76.67571774407477
19.0,1.0,10.082918091364427,0.3734417414315304,19.070733957188217,19.0,1.0,7.449380364253835,0.28571429274784416,26.083717727057753,19.0,1.0,6.131378998172741,0.28571428607551136,32.8353948083991,19.0,1.0,5.314449637068298,0.2857142868608656,39.423198972518065,19.0,1.0,4.719173574105853,0.2857142857241956,45.90238684470965,19.0,1.0,4.262144564534696,0.28571428579305747,52.307848076485115,19.0,1.0,3.9072558628749974,0.28571428670864835,58.66307467259217,19.0,1.0,3.62708649235368,0.2857142858574601,64.98531670655878,19.0,1.0,3.3828527864709255,0.28571428666935106,71.28874791387055,19.0,1.0,3.175980813667868,0.2857142857142857,77.586013081627
21.0,1.0,10.938760042084255,0.4051409752099902,19.542119505187507,21.0,1.0,8.080373017994884,0.29927345889442125,26.630891643892525,21.0,1.0,6.629332778134418,0.2857142859398749,33.44514544249737,21.0,1.0,5.693965203555412,0.28571428573654234,40.08522996756077,21.0,1.0,5.047048286697552,0.285714287126613,46.609847271280124,21.0,1.0,4.555775615867085,0.2857142904667982,53.0556355733108,21.0,1.0,4.157336247638399,0.285714286347248,59.44767560630923,21.0,1.0,3.84445825340034,0.28571428597002674,65.80422801398453,21.0,1.0,3.5781355271362543,0.285714289321263,72.14025607130486,21.0,1.0,3.343408750312678,0.2857142857142857,78.46889678373694
23.0,1.0,11.972289668174895,0.4434171959339372,19.992844603094134,23.0,1.0,8.74843667505662,0.3240143459431266,27.157404465738693,23.0,1.0,7.128272428513309,0.2857142863109848,34.03087021393084,23.0,1.0,6.083213474554341,0.2857142873878703,40.722463337420365,23.0,1.0,5.370657313577653,0.2857142859696309,47.292156928296635,23.0,1.0,4.830251095692077,0.2857142857447616,53.778321686404524,23.0,1.0,4.406035828538542,0.28571428573865437,60.20723538893303,23.0,1.0,4.063176693942528,0.285714286021174,66.59822521906999,23.0,1.0,3.7707882344921386,0.28571429134318344,72.9668326901882,23.0,1.0,3.5234557253500665,0.2857142861390446,79.32681908885546
25.0,1.0,12.887130385123976,0.4772884308082481,20.42629990839128,25.0,1.0,9.350425797135262,0.34631439808330383,27.665297615702286,25.0,1.0,7.586287391444559,0.2857142869734484,34.595258258974965,25.0,1.0,6.490007516847409,0.28571428591831666,41.33760194103134,25.0,1.0,5.697682665523182,0.2857142858053734,47.95183126785441,25.0,1.0,5.1148797937810055,0.28571428672739224,54.47816500736641,25.0,1.0,4.6552905398301,0.2857142870506536,60.943942057881074,25.0,1.0,4.278186969212953,0.28571428589928716,67.36925934833603,25.0,1.0,3.9657215577699887,0.2857142861688999,73.77045920333052,25.0,1.0,3.6951589055821437,0.2857142857142857,80.1617441295018
27.0,1.0,13.87940260723833,0.5140585037434705,20.843141598431217,27.0,1.0,9.95588836376059,0.36873264952537754,28.156227918625206,27.0,1.0,8.052027610428805,0.29822163345496927,35.141516755420334,27.0,1.0,6.8650126706722645,0.2857142862558231,41.93282711984975,27.0,1.0,6.032465365734282,0.2857142862144505,48.59102271440339,27.0,1.0,5.393122602498606,0.28571428646767777,55.15708344971816,27.0,1.0,4.895541857615397,0.2857142862899781,61.65951924073585,27.0,1.0,4.495666470390766,0.28571428580010944,68.11911489376396,27.0,1.0,4.156439738396468,0.28571428654902714,74.55283822348913,27.0,1.0,3.8680684723263585,0.2857142859174995,80.975322240552
29.0,1.0,14.82554027914551,0.5490944181730069,21.246247227609306,29.0,1.0,10.627546673318625,0.3936190490010878,28.63209720285912,29.0,1.0,8.518910306220524,0.31551295514970323,35.67207291953497,29.0,1.0,7.243243281368596,0.285714289201635,42.510135662649674,29.0,1.0,6.352605451112833,0.28571428588790904,49.21154717389213,29.0,1.0,5.671369954556116,0.2857142858708395,55.81692366002066,29.0,1.0,5.145644786207228,0.28571428573744595,62.35566862189507,29.0,1.0,4.712474557031495,0.28571428599223136,68.84941207295049,29.0,1.0,4.348068106302868,0.2857142864206223,75.31545298427999,29.0,1.0,4.0448520849674665,0.2857142857142857,81.76907247706451
31.0,1.0,15.861946687034104,0.587483353328343,21.635896023088026,31.0,1.0,11.23359096830026,0.4160653124917995,29.093983743929208,31.0,1.0,8.982042294946734,0.33267601722555895,36.18827098022545,31.0,1.0,7.596870504305148,0.28571431429508065,43.07151732383893,31.0,1.0,6.67712710968687,0.2857142874759219,49.81508981640771,31.0,1.0,5.958331636727658,0.2857142861274774,56.459254471836395,31.0,1.0,5.3898001576764365,0.28571428620007056,63.03396909823243,31.0,1.0,4.919025925770379,0.28571428597700693,69.5614993475174,31.0,1.0,4.544265378163363,0.28571428648746827,76.05972588363676,31.0,1.0,4.212067704574945,0.28571428575229585,82.5442734284417
33.0,1.0,16.763614271743442,0.6208757140421686,22.014023454980457,33.0,1.0,11.862813198616816,0.43935589140564735,29.543155290004186,33.0,1.0,9.444708893214766,0.3498067209277699,36.69117685968923,33.0,1.0,7.979580700296368,0.2955395304984157,43.61875923586721,33.0,1.0,6.957909223136383,0.285714286009135,50.40309411469543,33.0,1.0,6.219184394759983,0.28571428572460894,57.08544784739376,33.0,1.0,5.621597414799888,0.285714285792987,63.69568729044605,33.0,1.0,5.130110434757897,0.28571428586951725,70.25667594454113,33.0,1.0,4.741090270316356,0.28571428643245544,76.78689205824132,33.0,1.0,4.387306795110467,0.28571428582490904,83.30214976783991
35.0,1.0,17.7864897489586,0.6587344044309978,22.381157267524117,35.0,1.0,12.510393750943368,0.46335024625858023,29.980488461828728,35.0,1.0,9.922076550345253,0.3674900579808148,37.18191274110612,35.0,1.0,8.343443509891893,0.30901650962587723,44.15332281634775,35.0,1.0,7.281681345247131,0.2857142877782081,50.97700796761461,35.0,1.0,6.499934810404039,0.28571428873221466,57.69674652068774,35.0,1.0,5.867391216409809,0.2857142866728175,64.34209465609105,35.0,1.0,5.349182178853834,0.28571428580875496,70.93622425404205,35.0,1.0,4.920499340293237,0.2857142859788161,77.4980596785791,35.0,1.0,4.5611692859522215,0.28571428609122607,84.04383075024582
37.0,1.0,18.76703277379909,0.6950912751530866,22.738331779715676,37.0,1.0,13.135579882206034,0.48650224086400085,30.40687481607073,37.0,1.0,10.393031491502061,0.3849212905587395,37.66122467652853,37.0,1.0,8.71728039476312,0.322858717252844,44.676177022919504,37.0,1.0,7.573144351401355,0.2857142903759011,51.53817394698467,37.0,1.0,6.757608052613646,0.28571428632734064,58.29436586289789,37.0,1.0,6.10173892334338,0.2857142858629325,64.97427619994578,37.0,1.0,5.555426519929227,0.2857142860177606,71.60113968971798,37.0,1.0,5.113931925022548,0.28571428653186437,78.19430114802029,37.0,1.0,4.734091683350659,0.2857142857585392,84.77031444977976
39.0,1.0,19.744386438976246,0.7312722840805596,23.086315560104374,39.0,1.0,13.771061592295641,0.5100438609069875,30.823207499606866,39.0,1.0,10.831898091090942,0.4011804046617963,38.12980970412721,39.0,1.0,9.0787020462711,0.3362486050311947,45.18797718032742,39.0,1.0,7.877847066479976,0.2917736412380862,52.08762343714678,39.0,1.0,7.012849863514635,0.28571429273759963,58.87938455464574,39.0,1.0,6.334694777807265,0.28571428923463627,65.59321245388749,39.0,1.0,5.770866335608968,0.28571428582481784,72.25241891106238,39.0,1.0,5.2983407774952145,0.28571428767377266,78.87656568065076,39.0,1.0,4.905435958231443,0.2857142857142857,85.48255072398766
41.0,1.0,20.720978739016324,0.7674242772742338,23.425688682586166,41.0,1.0,14.388610543142082,0.532907628632072,31.22999626571405,41.0,1.0,11.31026714903689,0.4188957385462112,38.588433656475864,41.0,1.0,9.451892863065824,0.35007066825207,45.68948925167024,41.0,1.0,8.182855986034395,0.3030698695044195,52.62644037008865,41.0,1.0,7.2650186901729015,0.2857142888011556,59.452771973118125,41.0,1.0,6.562853686683949,0.2857142861709225,66.19986578676858,41.0,1.0,5.974758509435802,0.2857142881271977,72.89096254842529,41.0,1.0,5.4870842967957,0.2857142857386093,79.54571444345325,41.0,1.0,5.068780995520342,0.28572275881105313,86.18138947245446
43.0,1.0,21.702188087348905,0.8037777101194385,23.757082221003706,43.0,1.0,15.040810895340819,0.557073562308229,31.627940789195627,43.0,1.0,11.775450964953679,0.43613332556118223,39.037729019006804,43.0,1.0,9.821729054133755,0.36378523966635595,46.18131635498537,43.0,1.0,8.490240525657503,0.3144512026761117,53.15524155011716,43.0,1.0,7.516583471444056,0.2857143105503585,60.015391605150015,43.0,1.0,6.791012304540292,0.28571428590354975,66.79509044494681,43.0,1.0,6.174744010428722,0.2857142857142857,73.51758849596538,43.0,1.0,5.676851285480559,0.28571428690660944,80.20258330279395,43.0,1.0,5.233092172437381,0.28571428572250096,86.8675950120822
45.0,1.0,22.685351079818478,0.8401772394280946,24.08103719417253,45.0,1.0,15.676891307047937,0.5806226702745337,32.01764569543013,45.0,1.0,12.256931686146817,0.45397129017824656,39.47816787016312,45.0,1.0,10.192751135359213,0.3775001601992121,46.663963816127065,45.0,1.0,8.798261943389095,0.3258668963546844,53.674634082569455,45.0,1.0,7.772969224316682,0.2878864552824377,60.56801416341469,45.0,1.0,7.0141921815625174,0.2857142859563737,67.37970065744578,45.0,1.0,6.374185488526763,0.2857142865385728,74.13300780605609,45.0,1.0,5.8583085083892215,0.2857142862085056,80.84791016128275,45.0,1.0,5.395075870566917,0.28571428611868877,87.54188682321887
47.0,1.0,23.699564395547917,0.8777246612226147,24.397995096119228,47.0,1.0,16.291495467350238,0.6033796380866696,32.39945819673855,47.0,1.0,12.709466983364356,0.4707124272454007,39.91028133670861,47.0,1.0,10.571434681098243,0.39153287798475933,47.13795334053279,47.0,1.0,9.089369374159851,0.3366633752903466,54.185103937141726,47.0,1.0,8.01899745006435,0.29699820179543435,61.11137258207228,47.0,1.0,7.218098584273793,0.28571428950283956,67.95432890097322,47.0,1.0,6.577214374023761,0.28571428579579733,74.73795849868684,47.0,1.0,6.033370380861039,0.2857142857142857,81.48234108811636,47.0,1.0,5.562643225418931,0.285714286244384,88.20497149509895
