"","Age","X","tpx"
"1",0,0,0
"2",0,0,0
"3",0,0,0
"4",0,0,0
"5",0,0,0
"6",0,0,0
"7",0,0,0
"8",0,0,0
"9",0,0,0
"10",0,0,0
"11",0,0,0
"12",0,0,0
"13",0,0,0
"14",0,0,0
"15",0,0,0
"16",0,0,0
"17",0,0,0
"18",0,0,0
"19",0,0,0
"20",0,0,0
"21",0,0,0
"22",0,0,0
"23",0,0,0
"24",0,0,0
"25",25,0.000666,1
"26",26,0.000691,0.999334
"27",27,0.000721,0.99864346
"28",28,0.000754,0.997923438
"29",29,0.000789,0.997171004
"30",30,0.000826,0.996384236
"31",31,0.000865,0.995561223
"32",32,0.000905,0.994700062
"33",33,0.000945,0.993799859
"34",34,0.000987,0.992860718
"35",35,0.001031,0.991880764
"36",36,0.001079,0.990858135
"37",37,0.001133,0.989788999
"38",38,0.001193,0.988667568
"39",39,0.001261,0.987488088
"40",40,0.001338,0.986242865
"41",41,0.001424,0.984923273
"42",42,0.001523,0.983520742
"43",43,0.001634,0.98202284
"44",44,0.001758,0.980418214
"45",45,0.001898,0.978694639
"46",46,0.002055,0.976837077
"47",47,0.002229,0.974829677
"48",48,0.002421,0.972656781
"49",49,0.002634,0.970301979
"50",50,0.002868,0.967746204
"51",51,0.003125,0.964970708
"52",52,0.003405,0.961955174
"53",53,0.00371,0.958679717
"54",54,0.004039,0.955123015
"55",55,0.004381,0.951265273
"56",56,0.004742,0.94709778
"57",57,0.005134,0.942606642
"58",58,0.005568,0.9377673
"59",59,0.006053,0.932545811
"60",60,0.0066,0.926901112
"61",61,0.00722,0.920783564
"62",62,0.007921,0.914135507
"63",63,0.008704,0.90689464
"64",64,0.009566,0.899001029
"65",65,0.010505,0.890401185
"66",66,0.011519,0.88104752
"67",67,0.012614,0.870898734
"68",68,0.013822,0.859913217
"69",69,0.015186,0.848027497
"70",70,0.016745,0.835149351
"71",71,0.01854,0.821164775
"72",72,0.020612,0.805940381
"73",73,0.022998,0.789328337
"74",74,0.025738,0.771175364
"75",75,0.02887,0.751326853
"76",76,0.03243,0.729636047
"77",77,0.036455,0.70597395
"78",78,0.040987,0.680237669
"79",79,0.046104,0.652356768
"80",80,0.051887,0.622280511
"81",81,0.058417,0.589992243
"82",82,0.065767,0.555526666
"83",83,0.074009,0.518991343
"84",84,0.083207,0.480581313
"85",85,0.093419,0.440593584
"86",86,0.104698,0.399433772
"87",87,0.117086,0.357613855
"88",88,0.130619,0.315742279
"89",89,0.145323,0.274500338
"90",90,0.161211,0.234609126
"91",91,0.178198,0.196787554
"92",92,0.19583,0.161720405
"93",93,0.213605,0.130050698
"94",94,0.231058,0.102271219
"95",95,0.247765,0.078640636
"96",96,0.263341,0.059156239
"97",97,0.277433,0.043577976
"98",98,0.289716,0.031488007
"99",99,0.299885,0.022365428
"100",100,0.312549,0.015658371
"101",101,0.324613,0.010764363
"102",102,0.336251,0.007270111
"103",103,0.347854,0.004825529
"104",104,0.360421,0.003146949
"105",105,0.372475,0.002012723
"106",106,0.384123,0.001263034
"107",107,0.395363,0.000777873
"108",108,0.4062,0.000470331
"109",109,0.416641,0.000279283
